Year ,Estimated Stock of Dwellings (including vacant)  as at 31 December (in '000's)
2018,2032.0
2017,2018.0
2016,2008.0
2015,2002.0
2014,1999.0
2013,1998.0
2012,1997.0
2011,1997.0
2010,1993.0
2009,1983.0
2008,1960.0
2007,1913.0
2006,1838.0
2005,1733.0
2004,1652.0
2003,1575.0
2002,1506.0
2001,1448.32742736232
2000,1405.98914814377
1999,1366.15004346103
1998,1329.34224182637
1997,1296.45738070552
1996,1266.86348413974
1995,1242.20659226326
1994,1220.54154554574
1993,1202.45647783393
1992,1189.75065763466
1991,1175.870512375
